episode_hash,operator,decision,score,reason,flags,trim_start,trim_end,n_frames,act_span,progress_dip,cluster,outlier_p,ax_poor_image,ax_jittery,ax_unsteady_camera,ax_hesitant,ax_incomplete
692eaef496d2056439f01953,690366b20e94ce070afd1e8a,keep,-0.4319,,poor_image+unsteady_camera+hesitant,0,81,94,0.8710,,,,1.5679,-0.6856,1.5446,1.8904,-1.7347
692ef4e84215b056bf36e8a5,69150bf42756853dcad943f2,keep,-0.4320,,hesitant+incomplete,38,135,166,0.5879,,,,0.3054,-0.3199,0.2081,1.0675,1.7701
692ea0bd727c13b350cb7bf1,6903686e0e94ce070afd1f24,keep,-0.4320,,,0,94,96,0.9895,,,,0.5410,0.4060,0.4166,0.8136,0.3735
692e8c90aec602a46af102f4,6904b8d0466be157ec648ef1,keep,-0.4320,,incomplete,46,206,221,0.7273,,,,0.7396,0.0826,-0.1029,0.1743,1.7195
692ea4adc609aae267b278fe,68696b41314bde44018fa510,keep,-0.4325,,jittery+incomplete,4,177,181,0.9611,,,,0.3256,1.1407,-0.3298,0.0000,1.1575
692ea80e92a31767e35da33e,6903686e0e94ce070afd1f24,keep,-0.4327,,hesitant,0,122,124,0.9919,,,,0.4178,0.6854,-0.3495,1.2567,0.4670
692eaebb9cebf0ec017ddd46,690366b20e94ce070afd1e8a,keep,-0.4330,,hesitant,0,185,198,0.9391,,,,0.3598,0.8346,0.3173,1.1503,-0.2281
692ea4d999488ff84776f91a,6903686e0e94ce070afd1f24,keep,-0.4334,,,0,102,104,0.9903,0.1594,0,0.9895,0.2874,0.1365,-0.0696,0.0000,0.3535
692e8e504e86f0c01a207007,6904b8d0466be157ec648ef1,keep,-0.4338,,poor_image,0,308,313,0.9872,,,,1.8589,0.1921,0.1435,0.4917,-0.6753
692ef4c79ca48e15a25b2a50,690cb8f69adc5c8f26f64201,keep,-0.4338,,poor_image,0,224,226,0.9956,,,,1.5839,0.6184,0.4853,0.2772,-1.0294
692ea9bc95aad87d3e344666,6903686e0e94ce070afd1f24,keep,-0.4339,,hesitant,5,180,182,0.9669,,,,0.2335,-0.0216,0.2976,1.7938,0.6279
692e9fb89cebf0ec017ddc13,68bc72d1fcdaacc405e3db53,keep,-0.4342,,,0,222,225,0.9911,,,,0.7067,0.9371,0.3366,0.3792,-0.1424
692eb29fffdc0ca6345c43d9,69070e0b9adc5c8f26f55b5a,keep,-0.4344,,poor_image,5,126,128,0.9528,,,,1.4772,0.4449,-0.0677,0.0000,0.2255
692eaf3799488ff84776fa33,690362600e94ce070afd1d30,keep,-0.4344,,,3,284,304,0.9274,,,,0.4171,0.3111,0.9135,0.2164,0.8187
692eb3055aae241ad236ee99,6846f7cf9cdf020d4a37a294,keep,-0.4344,,,0,207,209,0.9952,,,,0.8716,0.9528,0.2476,0.2050,-0.1480
692eaee396d2056439f01944,68696b41314bde44018fa510,keep,-0.4351,,poor_image,0,224,226,0.9956,,,,1.4760,0.3844,0.0468,0.0000,0.2085
692eaabec621d7f4aac3ab8e,6903b590466be157ec64580a,keep,-0.4352,,hesitant+incomplete,17,193,218,0.8111,,,,-0.1609,0.1417,-0.1800,1.7729,1.4822
692eb01fad0c9ef057d41e24,690366b20e94ce070afd1e8a,keep,-0.4354,,unsteady_camera,41,216,221,0.7955,,,,-0.1594,0.5001,1.1011,0.9993,0.4360
692eb3e06974927fef249d8c,6903686e0e94ce070afd1f24,keep,-0.4355,,incomplete,40,106,108,0.6168,,,,0.2968,0.2647,0.9076,0.0000,1.2983
